# Directed graph: ER(10000,100000).txt 
# Nodes: 10000 Edges: 100000
# FromNodeId	ToNodeId
0	1195
0	1833
0	2677
0	2720
0	3551
0	4162
0	4593
0	5047
0	5147
0	5366
0	7290
0	7374
0	8224
0	8397
0	9318
1	498
1	1095
1	2276
1	2400
1	4580
1	6071
1	7216
1	7520
1	8222
1	8236
2	1618
2	3261
2	3751
2	4573
2	4859
2	5316
2	6074
2	8434
3	1281
3	1609
3	2299
3	4575
3	4736
3	5139
3	6348
4	1888
4	2272
4	5830
4	5987
4	6271
4	9258
5	1993
5	3868
5	4025
5	4731
5	4959
5	5168
5	6950
5	9441
6	1764
6	2048
6	2194
6	2719
6	3666
6	4398
6	5261
6	6331
6	6581
6	7061
7	645
7	3695
7	3731
7	5175
7	6014
7	6518
7	8631
7	9738
8	3259
8	3691
8	4364
8	4455
8	4478
8	6598
8	8541
8	9344
8	9573
8	9709
9	101
9	1305
9	1896
9	2098
9	6308
9	7325
9	8800
10	1763
10	4315
10	4745
10	5407
10	5703
10	7384
10	8521
10	8751
10	9827
11	3897
11	4461
11	4556
11	5335
11	7050
11	7994
11	8784
11	9060
12	997
12	1122
12	2710
12	3506
12	4441
12	4801
12	9466
13	2567
13	2679
13	2758
13	4197
13	5263
13	7249
13	7623
13	8083
13	8485
13	9140
14	2519
14	2633
14	5898
14	6767
14	7024
14	7111
14	8250
14	8543
14	8782
14	9676
15	324
15	4234
15	6820
15	7946
15	8396
15	9442
16	3047
16	4211
16	4407
16	4714
16	7415
16	7452
16	8334
17	74
17	1077
17	2875
17	4911
17	6201
17	6401
17	6776
17	7708
17	7836
17	9786
17	9950
18	559
18	773
18	2321
18	6502
18	9175
18	9910
18	9980
19	680
19	1464
19	4304
19	4559
19	5076
19	5853
19	7163
19	8309
19	9957
20	1905
20	2385
20	2449
20	3645
20	4375
20	5214
20	6119
20	6894
20	7319
20	7813
20	9196
20	9552
20	9583
20	9648
21	474
21	1889
21	2025
21	4106
21	5566
21	7289
21	7897
21	8292
21	9275
22	356
22	490
22	1669
22	1763
22	1787
22	4244
22	4566
22	4752
22	5537
22	5718
22	6441
22	6515
22	6719
22	8913
22	9606
23	1010
23	1424
23	1746
23	1863
23	2108
23	2375
23	3035
23	3122
23	4945
23	6116
23	6333
23	6864
23	8217
23	9569
23	9861
24	2182
24	4643
24	5000
24	5665
24	5931
24	6439
24	7194
24	7564
24	8899
24	8929
24	9265
25	1252
25	3295
25	3415
25	3964
25	3972
25	4223
25	6736
25	7522
25	7839
25	8794
25	9021
26	157
26	804
26	851
26	1929
26	3019
26	4475
26	4687
26	5696
26	7784
26	8250
26	8805
27	1319
27	2032
27	2180
27	2357
27	2368
27	2561
27	2568
27	3067
27	3972
27	4618
27	5319
27	5836
27	5898
27	6471
27	9267
28	163
28	2068
28	2096
28	2317
28	3033
28	3141
28	4921
28	6611
28	8501
28	8857
28	9919
29	265
29	1530
29	1710
29	2372
29	2854
29	3111
29	3438
29	3501
29	3695
29	4049
29	4387
29	5155
29	6779
29	8684
29	9137
30	265
30	957
30	958
30	3743
30	4686
30	5073
30	5659
30	5877
30	6683
30	8908
30	9568
31	1137
31	3580
31	6120
31	7941
31	8017
32	372
32	760
32	1159
32	5625
32	6947
33	2413
33	2754
33	3397
33	5351
33	8696
33	9325
34	1707
34	1992
34	2431
34	3888
34	4322
34	4356
34	4592
34	4914
34	5280
34	6712
34	7137
34	7535
35	1684
35	1911
35	3294
35	3647
35	4718
35	4814
35	4910
35	6436
35	9095
36	1065
36	2373
36	2908
36	3457
36	3878
36	4293
36	4896
36	5316
36	6060
36	6419
36	6493
36	7951
36	9648
37	136
37	1273
37	3439
37	3801
37	5325
37	5484
37	5955
37	7394
37	8340
37	9350
38	1164
38	1967
38	2149
38	3272
38	5194
38	5378
38	6710
38	8719
38	8850
39	348
39	1947
39	3297
39	4180
39	5508
39	7120
39	7321
39	8461
39	8984
40	96
40	2024
40	2285
40	2777
40	4148
40	7084
40	8130
40	8582
41	1807
41	2029
41	2302
41	2656
41	6887
41	7883
41	8414
41	8837
42	534
42	980
42	1496
42	1598
42	1838
42	2696
42	4328
42	5697
42	5796
42	7661
42	9671
43	1260
43	1640
43	2630
43	3884
43	4148
43	5684
43	6938
43	8261
44	997
44	1910
44	2904
44	3086
44	3743
44	4848
44	4859
44	5663
44	6401
44	6658
44	7927
44	8677
45	2001
45	2286
45	3901
45	4870
45	5238
45	6080
45	6563
45	7241
45	7309
45	8425
45	8669
45	8792
46	1428
46	1806
46	2175
46	3375
46	5780
46	6590
